w2,w1,count_w1_w2,count_w1,count_w2,pmi,sppmi,k11,k12,k21,k22,row1,row2,col1,col2,LLR_Score
snámh,droim,4,1146,4,5.91093437252409,4.91093437252409,4,1142,0,67807,1146,67807,4,68949,32.79092578959224
barrnocht,droim,4,1146,4,5.91093437252409,4.91093437252409,4,1142,0,67807,1146,67807,4,68949,32.79092578959224
aise,mullaigh,2,20,2,11.751397606393633,10.751397606393633,2,18,0,68933,20,68933,2,68951,32.788755899171
luain,má,3,20,19,9.088432593671204,8.088432593671204,3,17,16,68917,20,68933,19,68934,32.78063788166262
oilche,droim,5,1146,7,5.425507545353849,4.425507545353849,5,1141,2,67805,1146,67807,7,68946,32.68393456515247
bhuithe,mainistir,3,143,4,8.498416865223762,7.498416865223762,3,140,1,68809,143,68810,4,68949,32.63864981766825
fhearghamhna,uaigh,2,21,2,11.681008278502235,10.681008278502235,2,19,0,68932,21,68932,2,68951,32.58340238101445
dónaill,corrán,4,62,31,7.164933080507245,6.164933080507245,4,58,27,68864,62,68891,31,68922,32.57972844240799
buadáin,teampall,3,305,3,7.820660268830746,6.820660268830746,3,302,0,68648,305,68648,3,68950,32.554686590699205
mártan,teampall,3,305,3,7.820660268830746,6.820660268830746,3,302,0,68648,305,68648,3,68950,32.554686590699205
brianaid,teampall,3,305,3,7.820660268830746,6.820660268830746,3,302,0,68648,305,68648,3,68950,32.554686590699205
fhothram,teampall,3,305,3,7.820660268830746,6.820660268830746,3,302,0,68648,305,68648,3,68950,32.554686590699205
lúdagáin,teampall,3,305,3,7.820660268830746,6.820660268830746,3,302,0,68648,305,68648,3,68950,32.554686590699205
dóite,chúirt,3,13,31,9.003652173474183,8.003652173474183,3,10,28,68912,13,68940,31,68922,32.50601408263903
eibhlinne,sliabh,3,309,3,7.80186267337662,6.80186267337662,3,306,0,68644,309,68644,3,68950,32.47612509884947
tarsna,baile,16,8348,28,2.2387558940635555,1.2387558940635555,16,8332,12,60593,8348,60605,28,68925,32.44088149814563
héille,bearn,2,3,9,12.318438199117525,11.318438199117525,2,1,7,68943,3,68950,9,68944,32.43848129649102
mocheanóg,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
